"Year","Canton","Less than 20 years Less than 20 years","Less than 20 years 20-29 years","Less than 20 years 30-39 years","Less than 20 years 40-49 years","Less than 20 years 50-59 years","Less than 20 years 60-69 years","Less than 20 years 70-79 years","Less than 20 years 80-89 years","Less than 20 years 90 years or more","20-29 years Less than 20 years","20-29 years 20-29 years","20-29 years 30-39 years","20-29 years 40-49 years","20-29 years 50-59 years","20-29 years 60-69 years","20-29 years 70-79 years","20-29 years 80-89 years","20-29 years 90 years or more","30-39 years Less than 20 years","30-39 years 20-29 years","30-39 years 30-39 years","30-39 years 40-49 years","30-39 years 50-59 years","30-39 years 60-69 years","30-39 years 70-79 years","30-39 years 80-89 years","30-39 years 90 years or more","40-49 years Less than 20 years","40-49 years 20-29 years","40-49 years 30-39 years","40-49 years 40-49 years","40-49 years 50-59 years","40-49 years 60-69 years","40-49 years 70-79 years","40-49 years 80-89 years","40-49 years 90 years or more","50-59 years Less than 20 years","50-59 years 20-29 years","50-59 years 30-39 years","50-59 years 40-49 years","50-59 years 50-59 years","50-59 years 60-69 years","50-59 years 70-79 years","50-59 years 80-89 years","50-59 years 90 years or more","60-69 years Less than 20 years","60-69 years 20-29 years","60-69 years 30-39 years","60-69 years 40-49 years","60-69 years 50-59 years","60-69 years 60-69 years","60-69 years 70-79 years","60-69 years 80-89 years","60-69 years 90 years or more","70-79 years Less than 20 years","70-79 years 20-29 years","70-79 years 30-39 years","70-79 years 40-49 years","70-79 years 50-59 years","70-79 years 60-69 years","70-79 years 70-79 years","70-79 years 80-89 years","70-79 years 90 years or more","80-89 years Less than 20 years","80-89 years 20-29 years","80-89 years 30-39 years","80-89 years 40-49 years","80-89 years 50-59 years","80-89 years 60-69 years","80-89 years 70-79 years","80-89 years 80-89 years","80-89 years 90 years or more","90 years or more Less than 20 years","90 years or more 20-29 years","90 years or more 30-39 years","90 years or more 40-49 years","90 years or more 50-59 years","90 years or more 60-69 years","90 years or more 70-79 years","90 years or more 80-89 years","90 years or more 90 years or more"
"1969","Zürich",0,0,0,0,0,0,0,0,0,3,312,47,2,0,0,0,0,0,0,164,301,53,3,0,0,0,0,0,15,127,211,32,5,1,0,0,0,5,18,69,74,14,2,0,0,0,2,5,10,19,25,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Bern / Berne",0,0,0,0,0,0,0,0,0,1,172,16,3,0,0,0,0,0,0,72,122,20,1,0,0,0,0,0,11,49,91,17,2,0,0,0,0,3,6,37,35,6,0,0,0,0,0,1,5,7,8,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Luzern",0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,20,36,7,0,0,0,0,0,0,3,12,20,2,1,0,0,0,0,0,1,10,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Uri",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Schwyz",0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,10,2,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Obwalden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Nidwalden",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Glarus",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Zug",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Fribourg / Freiburg",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,14,2,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
