Year,Canton,GDP_pc
1981,Zurich,30038.706966253136
1982,Zurich,29643.829356288777
1983,Zurich,28645.195933460294
1984,Zurich,26327.454143795967
1985,Zurich,25980.05117328174
1986,Zurich,36364.35779530066
1987,Zurich,44151.53868870162
1988,Zurich,46541.101555151516
1989,Zurich,43718.636266885085
1990,Zurich,54354.33172364331
1991,Zurich,53346.55267704264
1992,Zurich,54150.31327401307
1993,Zurich,51439.079394153334
1994,Zurich,55842.770921980045
1995,Zurich,64161.27753827241
1996,Zurich,60949.758099292616
1997,Zurich,52208.68791654052
1998,Zurich,53127.24473415408
1999,Zurich,51483.83947587992
2000,Zurich,47700.71300349245
2001,Zurich,47418.844906409424
2002,Zurich,51545.894175396825
2003,Zurich,59542.44164882664
2004,Zurich,65842.54474140328
2005,Zurich,67477.25481472563
2006,Zurich,70718.8625425565
2007,Zurich,77839.19620421145
2008,Zurich,102323.74516
2009,Zurich,98814.45427
2010,Zurich,99866.97892
2011,Zurich,99998.52701
2012,Zurich,100062.70919
2013,Zurich,100011.26535
2014,Zurich,100621.38694
2015,Zurich,99315.95436
2016,Zurich,99026.13561
2017,Zurich,99395.09035
2018,Zurich,103713.58304
2019,Zurich,101489.15744
2020,Zurich,96490.8495
2021,Zurich,98092.85669
2022,Zurich,104619.53263
1981,Berne,18793.729673792626
1982,Berne,18805.668627729436
1983,Berne,18411.818535671253
1984,Berne,17132.677109060245
1985,Berne,17104.925347509525
1986,Berne,24206.195239934324
1987,Berne,29694.83055285182
1988,Berne,31606.801718991042
1989,Berne,29960.745865487446
1990,Berne,37566.7451002508
1991,Berne,37162.74751931864
1992,Berne,38000.55185390185
1993,Berne,36343.874938883695
1994,Berne,39702.82699316044
1995,Berne,45879.26044690907
1996,Berne,43810.83751277776
1997,Berne,37705.093921798805
1998,Berne,38530.76302276137
1999,Berne,37478.584687645045
2000,Berne,34837.82567377745
2001,Berne,34728.480807256725
2002,Berne,37838.566128957726
2003,Berne,43789.7251784635
2004,Berne,48490.66472359389
2005,Berne,49741.31831086039
2006,Berne,52156.33306777682
2007,Berne,57409.848860748076
2008,Berne,75468.2863
2009,Berne,73888.52138
2010,Berne,75988.54209
2011,Berne,77088.8549
2012,Berne,76861.8632
2013,Berne,77568.2419
2014,Berne,78287.01841
2015,Berne,77481.88529
2016,Berne,76650.62562
2017,Berne,76692.95612
2018,Berne,78191.44501
2019,Berne,79409.63507
2020,Berne,77392.62035
2021,Berne,81450.60794
2022,Berne,85151.01114
1981,Lucerne,12527.911814935054
1982,Lucerne,12803.199789696184
1983,Lucerne,12779.54276114742
1984,Lucerne,12104.209716215546
1985,Lucerne,12282.765383536087
1986,Lucerne,17643.898553646777
1987,Lucerne,21944.28665627227
1988,Lucerne,23654.675477008033
1989,Lucerne,22685.388630582875
1990,Lucerne,28750.739401935924
1991,Lucerne,28722.95204747966
1992,Lucerne,29637.166858576766
1993,Lucerne,28580.903009385096
1994,Lucerne,31459.840809881753
1995,Lucerne,36605.97566966551
1996,Lucerne,35175.748019572995
1997,Lucerne,30445.80759562259
1998,Lucerne,31271.761901206424
1999,Lucerne,30556.76664976064
2000,Lucerne,28518.46905117645
2001,Lucerne,28529.319994482794
2002,Lucerne,31178.642478822792
2003,Lucerne,36174.61659202181
2004,Lucerne,40141.74156635711
2005,Lucerne,41244.19641744419
2006,Lucerne,43297.64646351111
2007,Lucerne,47693.78197313161
2008,Lucerne,62696.00189
2009,Lucerne,60575.24796
2010,Lucerne,63978.76757
2011,Lucerne,64471.08224
2012,Lucerne,64476.83895
2013,Lucerne,65644.21506
2014,Lucerne,66257.0436
2015,Lucerne,66378.39139
2016,Lucerne,66806.78241
2017,Lucerne,67275.41429
2018,Lucerne,68114.51215
2019,Lucerne,68810.2807
2020,Lucerne,67609.04691
2021,Lucerne,72007.3977
2022,Lucerne,75544.49424
1981,Uri,9050.427056806495
1982,Uri,9316.171322591932
1983,Uri,9358.562621434388
1984,Uri,8914.569767960755
1985,Uri,9092.12348891893
1986,Uri,13120.092203154149
1987,Uri,16384.461390126766
1988,Uri,17726.134834789966
1989,Uri,17055.5915038814
1990,Uri,21679.36005687773
1991,Uri,21715.535449766146
1992,Uri,22459.552166276313
1993,Uri,21704.623765137716
1994,Uri,23935.491306759654
1995,Uri,27896.66798915858
1996,Uri,26845.381848409314
1997,Uri,23264.647387670717
1998,Uri,23921.343222287585
1999,Uri,23395.391795034382
2000,Uri,21850.817037808745
2001,Uri,21871.72712760473
2002,Uri,23912.94065589846
2003,Uri,27752.341258717523
2004,Uri,30799.878510145387
2005,Uri,31645.42639506991
2006,Uri,33215.9402068921
2007,Uri,36577.77481148648
2008,Uri,48083.42186
2009,Uri,47937.87561
2010,Uri,48046.77671
2011,Uri,50061.43402
2012,Uri,50627.54122
2013,Uri,52086.56524
2014,Uri,52121.13241
2015,Uri,52365.85308
2016,Uri,52579.83453
2017,Uri,53343.92965
2018,Uri,53966.89223
2019,Uri,54714.79578
2020,Uri,53909.57131
2021,Uri,56559.55644
2022,Uri,58391.59543
1981,Schwyz,11484.492881323002
1982,Schwyz,11743.498490509566
1983,Schwyz,11728.14365627866
1984,Schwyz,11114.155675242355
1985,Schwyz,11283.789777849579
1986,Schwyz,16216.84208992241
1987,Schwyz,20179.08275283234
1988,Schwyz,21762.13625751363
1989,Schwyz,20880.101996810987
1990,Schwyz,26474.964123597034
1991,Schwyz,26461.487799445502
1992,Schwyz,27316.1965127694
1993,Schwyz,26354.69590448288
1994,Schwyz,29022.702806762583
1995,Schwyz,33785.77595097152
1996,Schwyz,32480.87108948702
1997,Schwyz,28126.558284557766
1998,Schwyz,28903.40903822134
1999,Schwyz,28256.286988603562
2000,Schwyz,26384.491535063236
2001,Schwyz,26407.854409210457
2002,Schwyz,28875.06238036622
2003,Schwyz,33519.61915880635
2004,Schwyz,37215.74127186018
2005,Schwyz,38259.13148696177
2006,Schwyz,40186.98317471684
