"Year","Canton","Sex","Age","Emigration of the permanent resident population"
"2011","Zürich","Male","0 years",76
"2011","Zürich","Male","1 year",161
"2011","Zürich","Male","2 years",157
"2011","Zürich","Male","3 years",142
"2011","Zürich","Male","4 years",142
"2011","Zürich","Male","5 years",129
"2011","Zürich","Male","6 years",95
"2011","Zürich","Male","7 years",86
"2011","Zürich","Male","8 years",84
"2011","Zürich","Male","9 years",68
"2011","Zürich","Male","10 years",74
"2011","Zürich","Male","11 years",61
"2011","Zürich","Male","12 years",50
"2011","Zürich","Male","13 years",47
"2011","Zürich","Male","14 years",53
"2011","Zürich","Male","15 years",42
"2011","Zürich","Male","16 years",47
"2011","Zürich","Male","17 years",27
"2011","Zürich","Male","18 years",57
"2011","Zürich","Male","19 years",89
"2011","Zürich","Male","20 years",114
"2011","Zürich","Male","21 years",151
"2011","Zürich","Male","22 years",188
"2011","Zürich","Male","23 years",253
"2011","Zürich","Male","24 years",251
"2011","Zürich","Male","25 years",278
"2011","Zürich","Male","26 years",320
"2011","Zürich","Male","27 years",308
"2011","Zürich","Male","28 years",356
"2011","Zürich","Male","29 years",333
"2011","Zürich","Male","30 years",336
"2011","Zürich","Male","31 years",401
"2011","Zürich","Male","32 years",389
"2011","Zürich","Male","33 years",299
"2011","Zürich","Male","34 years",310
"2011","Zürich","Male","35 years",314
"2011","Zürich","Male","36 years",291
"2011","Zürich","Male","37 years",266
"2011","Zürich","Male","38 years",238
"2011","Zürich","Male","39 years",246
"2011","Zürich","Male","40 years",243
"2011","Zürich","Male","41 years",204
"2011","Zürich","Male","42 years",211
"2011","Zürich","Male","43 years",250
"2011","Zürich","Male","44 years",203
"2011","Zürich","Male","45 years",200
"2011","Zürich","Male","46 years",199
"2011","Zürich","Male","47 years",171
"2011","Zürich","Male","48 years",159
"2011","Zürich","Male","49 years",145
"2011","Zürich","Male","50 years",137
"2011","Zürich","Male","51 years",129
"2011","Zürich","Male","52 years",93
"2011","Zürich","Male","53 years",102
"2011","Zürich","Male","54 years",86
"2011","Zürich","Male","55 years",101
"2011","Zürich","Male","56 years",85
"2011","Zürich","Male","57 years",82
"2011","Zürich","Male","58 years",64
"2011","Zürich","Male","59 years",71
"2011","Zürich","Male","60 years",119
"2011","Zürich","Male","61 years",77
"2011","Zürich","Male","62 years",76
"2011","Zürich","Male","63 years",67
"2011","Zürich","Male","64 years",65
"2011","Zürich","Male","65 years",100
"2011","Zürich","Male","66 years",62
"2011","Zürich","Male","67 years",54
"2011","Zürich","Male","68 years",32
"2011","Zürich","Male","69 years",32
"2011","Zürich","Male","70 years",36
"2011","Zürich","Male","71 years",15
"2011","Zürich","Male","72 years",19
"2011","Zürich","Male","73 years",12
"2011","Zürich","Male","74 years",10
"2011","Zürich","Male","75 years",10
"2011","Zürich","Male","76 years",12
"2011","Zürich","Male","77 years",14
"2011","Zürich","Male","78 years",9
"2011","Zürich","Male","79 years",9
"2011","Zürich","Male","80 years",6
"2011","Zürich","Male","81 years",7
"2011","Zürich","Male","82 years",8
"2011","Zürich","Male","83 years",3
"2011","Zürich","Male","84 years",5
"2011","Zürich","Male","85 years",6
"2011","Zürich","Male","86 years",3
"2011","Zürich","Male","87 years",4
"2011","Zürich","Male","88 years",2
"2011","Zürich","Male","89 years",1
"2011","Zürich","Male","90 years",1
"2011","Zürich","Male","91 years",2
"2011","Zürich","Male","92 years",1
"2011","Zürich","Male","93 years",0
"2011","Zürich","Male","94 years",0
"2011","Zürich","Male","95 years",0
"2011","Zürich","Male","96 years",0
"2011","Zürich","Male","97 years",0
"2011","Zürich","Male","98 years",0
"2011","Zürich","Male","99 years",0
"2011","Zürich","Male","100 years or older",0
"2011","Zürich","Female","0 years",66
"2011","Zürich","Female","1 year",140
"2011","Zürich","Female","2 years",128
"2011","Zürich","Female","3 years",116
"2011","Zürich","Female","4 years",138
"2011","Zürich","Female","5 years",106
"2011","Zürich","Female","6 years",103
"2011","Zürich","Female","7 years",84
"2011","Zürich","Female","8 years",65
"2011","Zürich","Female","9 years",48
"2011","Zürich","Female","10 years",68
"2011","Zürich","Female","11 years",49
"2011","Zürich","Female","12 years",47
"2011","Zürich","Female","13 years",59
"2011","Zürich","Female","14 years",47
"2011","Zürich","Female","15 years",43
"2011","Zürich","Female","16 years",43
"2011","Zürich","Female","17 years",43
"2011","Zürich","Female","18 years",42
"2011","Zürich","Female","19 years",88
"2011","Zürich","Female","20 years",106
"2011","Zürich","Female","21 years",154
"2011","Zürich","Female","22 years",159
"2011","Zürich","Female","23 years",206
"2011","Zürich","Female","24 years",232
"2011","Zürich","Female","25 years",258
"2011","Zürich","Female","26 years",280
"2011","Zürich","Female","27 years",274
"2011","Zürich","Female","28 years",316
"2011","Zürich","Female","29 years",344
"2011","Zürich","Female","30 years",293
"2011","Zürich","Female","31 years",278
"2011","Zürich","Female","32 years",294
"2011","Zürich","Female","33 years",243
"2011","Zürich","Female","34 years",248
"2011","Zürich","Female","35 years",216
"2011","Zürich","Female","36 years",195
"2011","Zürich","Female","37 years",166
"2011","Zürich","Female","38 years",164
"2011","Zürich","Female","39 years",179
"2011","Zürich","Female","40 years",152
"2011","Zürich","Female","41 years",125
"2011","Zürich","Female","42 years",134
"2011","Zürich","Female","43 years",125
"2011","Zürich","Female","44 years",105
"2011","Zürich","Female","45 years",115
"2011","Zürich","Female","46 years",99
"2011","Zürich","Female","47 years",85
"2011","Zürich","Female","48 years",107
"2011","Zürich","Female","49 years",94
"2011","Zürich","Female","50 years",80
"2011","Zürich","Female","51 years",72
"2011","Zürich","Female","52 years",69
"2011","Zürich","Female","53 years",59
"2011","Zürich","Female","54 years",77
"2011","Zürich","Female","55 years",66
"2011","Zürich","Female","56 years",51
"2011","Zürich","Female","57 years",49
"2011","Zürich","Female","58 years",61
"2011","Zürich","Female","59 years",45
"2011","Zürich","Female","60 years",60
"2011","Zürich","Female","61 years",47
"2011","Zürich","Female","62 years",53
"2011","Zürich","Female","63 years",54
"2011","Zürich","Female","64 years",49
"2011","Zürich","Female","65 years",37
"2011","Zürich","Female","66 years",43
"2011","Zürich","Female","67 years",26
"2011","Zürich","Female","68 years",29
"2011","Zürich","Female","69 years",21
"2011","Zürich","Female","70 years",14
"2011","Zürich","Female","71 years",16
"2011","Zürich","Female","72 years",5
"2011","Zürich","Female","73 years",17
"2011","Zürich","Female","74 years",7
"2011","Zürich","Female","75 years",15
"2011","Zürich","Female","76 years",11
"2011","Zürich","Female","77 years",12
"2011","Zürich","Female","78 years",8
"2011","Zürich","Female","79 years",6
"2011","Zürich","Female","80 years",6
"2011","Zürich","Female","81 years",5
"2011","Zürich","Female","82 years",6
"2011","Zürich","Female","83 years",4
"2011","Zürich","Female","84 years",5
"2011","Zürich","Female","85 years",8
"2011","Zürich","Female","86 years",6
"2011","Zürich","Female","87 years",3
"2011","Zürich","Female","88 years",5
"2011","Zürich","Female","89 years",4
"2011","Zürich","Female","90 years",0
"2011","Zürich","Female","91 years",5
"2011","Zürich","Female","92 years",2
"2011","Zürich","Female","93 years",4
"2011","Zürich","Female","94 years",0
"2011","Zürich","Female","95 years",0
"2011","Zürich","Female","96 years",1
"2011","Zürich","Female","97 years",0
"2011","Zürich","Female","98 years",0
"2011","Zürich","Female","99 years",0
"2011","Zürich","Female","100 years or older",0
"2011","Bern / Berne","Male","0 years",18
"2011","Bern / Berne","Male","1 year",46
"2011","Bern / Berne","Male","2 years",39
"2011","Bern / Berne","Male","3 years",47
"2011","Bern / Berne","Male","4 years",22
"2011","Bern / Berne","Male","5 years",30
"2011","Bern / Berne","Male","6 years",46
"2011","Bern / Berne","Male","7 years",35
"2011","Bern / Berne","Male","8 years",23
"2011","Bern / Berne","Male","9 years",26
"2011","Bern / Berne","Male","10 years",23
"2011","Bern / Berne","Male","11 years",18
"2011","Bern / Berne","Male","12 years",20
"2011","Bern / Berne","Male","13 years",18
"2011","Bern / Berne","Male","14 years",21
"2011","Bern / Berne","Male","15 years",16
"2011","Bern / Berne","Male","16 years",23
"2011","Bern / Berne","Male","17 years",18
"2011","Bern / Berne","Male","18 years",30
"2011","Bern / Berne","Male","19 years",30
"2011","Bern / Berne","Male","20 years",40
"2011","Bern / Berne","Male","21 years",57
"2011","Bern / Berne","Male","22 years",61
"2011","Bern / Berne","Male","23 years",73
"2011","Bern / Berne","Male","24 years",78
"2011","Bern / Berne","Male","25 years",98
"2011","Bern / Berne","Male","26 years",78
"2011","Bern / Berne","Male","27 years",95
"2011","Bern / Berne","Male","28 years",114
"2011","Bern / Berne","Male","29 years",108
"2011","Bern / Berne","Male","30 years",92
"2011","Bern / Berne","Male","31 years",106
"2011","Bern / Berne","Male","32 years",84
"2011","Bern / Berne","Male","33 years",92
"2011","Bern / Berne","Male","34 years",71
"2011","Bern / Berne","Male","35 years",91
"2011","Bern / Berne","Male","36 years",75
"2011","Bern / Berne","Male","37 years",69
"2011","Bern / Berne","Male","38 years",67
"2011","Bern / Berne","Male","39 years",72
"2011","Bern / Berne","Male","40 years",77
"2011","Bern / Berne","Male","41 years",53
"2011","Bern / Berne","Male","42 years",60
"2011","Bern / Berne","Male","43 years",64
"2011","Bern / Berne","Male","44 years",72
"2011","Bern / Berne","Male","45 years",70
"2011","Bern / Berne","Male","46 years",78
"2011","Bern / Berne","Male","47 years",57
"2011","Bern / Berne","Male","48 years",57
"2011","Bern / Berne","Male","49 years",44
"2011","Bern / Berne","Male","50 years",53
"2011","Bern / Berne","Male","51 years",54
"2011","Bern / Berne","Male","52 years",32
"2011","Bern / Berne","Male","53 years",37
"2011","Bern / Berne","Male","54 years",48
"2011","Bern / Berne","Male","55 years",52
"2011","Bern / Berne","Male","56 years",34
"2011","Bern / Berne","Male","57 years",30
"2011","Bern / Berne","Male","58 years",37
"2011","Bern / Berne","Male","59 years",37
"2011","Bern / Berne","Male","60 years",51
"2011","Bern / Berne","Male","61 years",44
"2011","Bern / Berne","Male","62 years",18
"2011","Bern / Berne","Male","63 years",36
"2011","Bern / Berne","Male","64 years",38
"2011","Bern / Berne","Male","65 years",48
"2011","Bern / Berne","Male","66 years",36
"2011","Bern / Berne","Male","67 years",21
"2011","Bern / Berne","Male","68 years",13
"2011","Bern / Berne","Male","69 years",17
"2011","Bern / Berne","Male","70 years",9
"2011","Bern / Berne","Male","71 years",10
"2011","Bern / Berne","Male","72 years",7
"2011","Bern / Berne","Male","73 years",9
"2011","Bern / Berne","Male","74 years",8
"2011","Bern / Berne","Male","75 years",5
"2011","Bern / Berne","Male","76 years",8
"2011","Bern / Berne","Male","77 years",3
"2011","Bern / Berne","Male","78 years",3
"2011","Bern / Berne","Male","79 years",6
"2011","Bern / Berne","Male","80 years",2
"2011","Bern / Berne","Male","81 years",1
"2011","Bern / Berne","Male","82 years",3
"2011","Bern / Berne","Male","83 years",3
"2011","Bern / Berne","Male","84 years",1
"2011","Bern / Berne","Male","85 years",1
"2011","Bern / Berne","Male","86 years",0
"2011","Bern / Berne","Male","87 years",1
"2011","Bern / Berne","Male","88 years",0
"2011","Bern / Berne","Male","89 years",1
"2011","Bern / Berne","Male","90 years",1
"2011","Bern / Berne","Male","91 years",0
"2011","Bern / Berne","Male","92 years",1
"2011","Bern / Berne","Male","93 years",0
"2011","Bern / Berne","Male","94 years",1
"2011","Bern / Berne","Male","95 years",0
"2011","Bern / Berne","Male","96 years",0
"2011","Bern / Berne","Male","97 years",0
"2011","Bern / Berne","Male","98 years",0
"2011","Bern / Berne","Male","99 years",1
"2011","Bern / Berne","Male","100 years or older",0
"2011","Bern / Berne","Female","0 years",15
"2011","Bern / Berne","Female","1 year",49
"2011","Bern / Berne","Female","2 years",44
"2011","Bern / Berne","Female","3 years",36
"2011","Bern / Berne","Female","4 years",45
"2011","Bern / Berne","Female","5 years",43
"2011","Bern / Berne","Female","6 years",38
"2011","Bern / Berne","Female","7 years",16
"2011","Bern / Berne","Female","8 years",37
"2011","Bern / Berne","Female","9 years",23
"2011","Bern / Berne","Female","10 years",24
"2011","Bern / Berne","Female","11 years",18
"2011","Bern / Berne","Female","12 years",18
"2011","Bern / Berne","Female","13 years",20
"2011","Bern / Berne","Female","14 years",16
"2011","Bern / Berne","Female","15 years",18
"2011","Bern / Berne","Female","16 years",21
"2011","Bern / Berne","Female","17 years",25
"2011","Bern / Berne","Female","18 years",37
"2011","Bern / Berne","Female","19 years",51
"2011","Bern / Berne","Female","20 years",49
"2011","Bern / Berne","Female","21 years",65
"2011","Bern / Berne","Female","22 years",68
"2011","Bern / Berne","Female","23 years",81
"2011","Bern / Berne","Female","24 years",100
"2011","Bern / Berne","Female","25 years",97
"2011","Bern / Berne","Female","26 years",108
"2011","Bern / Berne","Female","27 years",100
"2011","Bern / Berne","Female","28 years",98
"2011","Bern / Berne","Female","29 years",95
"2011","Bern / Berne","Female","30 years",102
"2011","Bern / Berne","Female","31 years",80
"2011","Bern / Berne","Female","32 years",87
"2011","Bern / Berne","Female","33 years",84
"2011","Bern / Berne","Female","34 years",77
"2011","Bern / Berne","Female","35 years",70
"2011","Bern / Berne","Female","36 years",55
"2011","Bern / Berne","Female","37 years",52
"2011","Bern / Berne","Female","38 years",49
"2011","Bern / Berne","Female","39 years",53
"2011","Bern / Berne","Female","40 years",49
"2011","Bern / Berne","Female","41 years",38
"2011","Bern / Berne","Female","42 years",53
"2011","Bern / Berne","Female","43 years",42
"2011","Bern / Berne","Female","44 years",35
"2011","Bern / Berne","Female","45 years",40
"2011","Bern / Berne","Female","46 years",34
"2011","Bern / Berne","Female","47 years",50
"2011","Bern / Berne","Female","48 years",32
"2011","Bern / Berne","Female","49 years",39
"2011","Bern / Berne","Female","50 years",35
"2011","Bern / Berne","Female","51 years",39
"2011","Bern / Berne","Female","52 years",31
"2011","Bern / Berne","Female","53 years",24
"2011","Bern / Berne","Female","54 years",25
"2011","Bern / Berne","Female","55 years",28
"2011","Bern / Berne","Female","56 years",35
"2011","Bern / Berne","Female","57 years",28
"2011","Bern / Berne","Female","58 years",33
"2011","Bern / Berne","Female","59 years",23
"2011","Bern / Berne","Female","60 years",29
"2011","Bern / Berne","Female","61 years",27
"2011","Bern / Berne","Female","62 years",24
"2011","Bern / Berne","Female","63 years",30
"2011","Bern / Berne","Female","64 years",21
"2011","Bern / Berne","Female","65 years",25
"2011","Bern / Berne","Female","66 years",8
"2011","Bern / Berne","Female","67 years",11
"2011","Bern / Berne","Female","68 years",12
"2011","Bern / Berne","Female","69 years",7
"2011","Bern / Berne","Female","70 years",10
"2011","Bern / Berne","Female","71 years",13
"2011","Bern / Berne","Female","72 years",5
"2011","Bern / Berne","Female","73 years",6
"2011","Bern / Berne","Female","74 years",1
"2011","Bern / Berne","Female","75 years",2
"2011","Bern / Berne","Female","76 years",2
"2011","Bern / Berne","Female","77 years",2
"2011","Bern / Berne","Female","78 years",2
"2011","Bern / Berne","Female","79 years",1
"2011","Bern / Berne","Female","80 years",4
"2011","Bern / Berne","Female","81 years",5
"2011","Bern / Berne","Female","82 years",2
"2011","Bern / Berne","Female","83 years",1
"2011","Bern / Berne","Female","84 years",2
"2011","Bern / Berne","Female","85 years",2
"2011","Bern / Berne","Female","86 years",1
"2011","Bern / Berne","Female","87 years",5
"2011","Bern / Berne","Female","88 years",2
"2011","Bern / Berne","Female","89 years",2
"2011","Bern / Berne","Female","90 years",0
