Year,Canton,Age Group,Net Migration
2011,Aargau,0-9,123
2011,Aargau,10-19,339
2011,Aargau,20-29,1482
2011,Aargau,30-39,1005
2011,Aargau,40-49,513
2011,Aargau,50-59,-23
2011,Aargau,60-69,-242
2011,Aargau,70-79,-4
2011,Aargau,80-89,3
2011,Aargau,90-99,-1
2011,Aargau,100-109,0
2011,Appenzell Ausserrhoden,0-9,27
2011,Appenzell Ausserrhoden,10-19,10
2011,Appenzell Ausserrhoden,20-29,108
2011,Appenzell Ausserrhoden,30-39,92
2011,Appenzell Ausserrhoden,40-49,59
2011,Appenzell Ausserrhoden,50-59,-15
2011,Appenzell Ausserrhoden,60-69,-21
2011,Appenzell Ausserrhoden,70-79,1
2011,Appenzell Ausserrhoden,80-89,5
2011,Appenzell Ausserrhoden,90-99,0
2011,Appenzell Ausserrhoden,100-109,0
2011,Appenzell Innerrhoden,0-9,6
2011,Appenzell Innerrhoden,10-19,6
2011,Appenzell Innerrhoden,20-29,36
2011,Appenzell Innerrhoden,30-39,18
2011,Appenzell Innerrhoden,40-49,1
2011,Appenzell Innerrhoden,50-59,-2
2011,Appenzell Innerrhoden,60-69,-5
2011,Appenzell Innerrhoden,70-79,0
2011,Appenzell Innerrhoden,80-89,-1
2011,Appenzell Innerrhoden,90-99,0
2011,Appenzell Innerrhoden,100-109,0
2011,Basel-Landschaft,0-9,82
2011,Basel-Landschaft,10-19,145
2011,Basel-Landschaft,20-29,514
2011,Basel-Landschaft,30-39,377
2011,Basel-Landschaft,40-49,187
2011,Basel-Landschaft,50-59,8
2011,Basel-Landschaft,60-69,-102
2011,Basel-Landschaft,70-79,-18
2011,Basel-Landschaft,80-89,-8
2011,Basel-Landschaft,90-99,-4
2011,Basel-Landschaft,100-109,0
2011,Basel-Stadt,0-9,196
2011,Basel-Stadt,10-19,194
2011,Basel-Stadt,20-29,1224
2011,Basel-Stadt,30-39,876
2011,Basel-Stadt,40-49,349
2011,Basel-Stadt,50-59,53
2011,Basel-Stadt,60-69,-86
2011,Basel-Stadt,70-79,-30
2011,Basel-Stadt,80-89,-22
2011,Basel-Stadt,90-99,-3
2011,Basel-Stadt,100-109,0
2011,Bern / Berne,0-9,439
2011,Bern / Berne,10-19,444
2011,Bern / Berne,20-29,2104
2011,Bern / Berne,30-39,1352
2011,Bern / Berne,40-49,684
2011,Bern / Berne,50-59,110
2011,Bern / Berne,60-69,-207
2011,Bern / Berne,70-79,-2
2011,Bern / Berne,80-89,17
2011,Bern / Berne,90-99,9
2011,Bern / Berne,100-109,1
2011,Fribourg / Freiburg,0-9,303
2011,Fribourg / Freiburg,10-19,322
2011,Fribourg / Freiburg,20-29,763
2011,Fribourg / Freiburg,30-39,778
2011,Fribourg / Freiburg,40-49,452
2011,Fribourg / Freiburg,50-59,128
2011,Fribourg / Freiburg,60-69,-46
2011,Fribourg / Freiburg,70-79,-1
2011,Fribourg / Freiburg,80-89,-6
2011,Fribourg / Freiburg,90-99,1
2011,Fribourg / Freiburg,100-109,0
2011,Genève,0-9,327
2011,Genève,10-19,555
2011,Genève,20-29,2606
2011,Genève,30-39,1635
2011,Genève,40-49,573
2011,Genève,50-59,-205
2011,Genève,60-69,-455
2011,Genève,70-79,-26
2011,Genève,80-89,-26
2011,Genève,90-99,-1
2011,Genève,100-109,-1
2011,Glarus,0-9,43
2011,Glarus,10-19,21
2011,Glarus,20-29,174
2011,Glarus,30-39,138
2011,Glarus,40-49,107
2011,Glarus,50-59,46
2011,Glarus,60-69,0
2011,Glarus,70-79,-2
2011,Glarus,80-89,2
2011,Glarus,90-99,1
2011,Glarus,100-109,0
2011,Graubünden / Grigioni / Grischun,0-9,97
2011,Graubünden / Grigioni / Grischun,10-19,133
2011,Graubünden / Grigioni / Grischun,20-29,805
2011,Graubünden / Grigioni / Grischun,30-39,471
2011,Graubünden / Grigioni / Grischun,40-49,277
2011,Graubünden / Grigioni / Grischun,50-59,55
2011,Graubünden / Grigioni / Grischun,60-69,-57
2011,Graubünden / Grigioni / Grischun,70-79,6
2011,Graubünden / Grigioni / Grischun,80-89,-3
2011,Graubünden / Grigioni / Grischun,90-99,-2
2011,Graubünden / Grigioni / Grischun,100-109,0
2011,Jura,0-9,17
2011,Jura,10-19,40
2011,Jura,20-29,126
2011,Jura,30-39,111
2011,Jura,40-49,37
2011,Jura,50-59,18
2011,Jura,60-69,-12
2011,Jura,70-79,-5
2011,Jura,80-89,3
2011,Jura,90-99,-2
2011,Jura,100-109,0
2011,Luzern,0-9,200
2011,Luzern,10-19,261
2011,Luzern,20-29,873
2011,Luzern,30-39,641
2011,Luzern,40-49,327
2011,Luzern,50-59,98
2011,Luzern,60-69,-61
2011,Luzern,70-79,0
2011,Luzern,80-89,-9
2011,Luzern,90-99,2
2011,Luzern,100-109,0
2011,Neuchâtel,0-9,161
2011,Neuchâtel,10-19,230
2011,Neuchâtel,20-29,692
2011,Neuchâtel,30-39,464
2011,Neuchâtel,40-49,174
2011,Neuchâtel,50-59,25
2011,Neuchâtel,60-69,-39
2011,Neuchâtel,70-79,4
2011,Neuchâtel,80-89,-11
2011,Neuchâtel,90-99,-1
2011,Neuchâtel,100-109,0
2011,Nidwalden,0-9,18
2011,Nidwalden,10-19,11
2011,Nidwalden,20-29,68
2011,Nidwalden,30-39,65
2011,Nidwalden,40-49,59
2011,Nidwalden,50-59,14
2011,Nidwalden,60-69,-1
2011,Nidwalden,70-79,-1
2011,Nidwalden,80-89,2
2011,Nidwalden,90-99,1
2011,Nidwalden,100-109,0
2011,Obwalden,0-9,0
2011,Obwalden,10-19,26
2011,Obwalden,20-29,90
2011,Obwalden,30-39,69
2011,Obwalden,40-49,52
2011,Obwalden,50-59,25
2011,Obwalden,60-69,-7
2011,Obwalden,70-79,-2
2011,Obwalden,80-89,0
2011,Obwalden,90-99,-3
2011,Obwalden,100-109,0
2011,Schaffhausen,0-9,74
2011,Schaffhausen,10-19,65
2011,Schaffhausen,20-29,271
2011,Schaffhausen,30-39,212
