Year,Canton,Age Group,marriages
1981,Aargau,10-19,2
1981,Aargau,20-29,1442
1981,Aargau,30-39,208
1981,Aargau,40-49,33
1981,Aargau,50-59,11
1981,Aargau,60-69,6
1981,Aargau,70-79,1
1981,Aargau,80-89,0
1981,Appenzell Ausserrhoden,10-19,0
1981,Appenzell Ausserrhoden,20-29,152
1981,Appenzell Ausserrhoden,30-39,14
1981,Appenzell Ausserrhoden,40-49,1
1981,Appenzell Ausserrhoden,50-59,1
1981,Appenzell Ausserrhoden,60-69,1
1981,Appenzell Ausserrhoden,70-79,0
1981,Appenzell Ausserrhoden,80-89,0
1981,Appenzell Innerrhoden,10-19,0
1981,Appenzell Innerrhoden,20-29,47
1981,Appenzell Innerrhoden,30-39,5
1981,Appenzell Innerrhoden,40-49,1
1981,Appenzell Innerrhoden,50-59,0
1981,Appenzell Innerrhoden,60-69,0
1981,Appenzell Innerrhoden,70-79,0
1981,Appenzell Innerrhoden,80-89,0
1981,Basel-Landschaft,10-19,2
1981,Basel-Landschaft,20-29,676
1981,Basel-Landschaft,30-39,135
1981,Basel-Landschaft,40-49,19
1981,Basel-Landschaft,50-59,14
1981,Basel-Landschaft,60-69,3
1981,Basel-Landschaft,70-79,1
1981,Basel-Landschaft,80-89,0
1981,Basel-Stadt,10-19,1
1981,Basel-Stadt,20-29,485
1981,Basel-Stadt,30-39,130
1981,Basel-Stadt,40-49,30
1981,Basel-Stadt,50-59,13
1981,Basel-Stadt,60-69,1
1981,Basel-Stadt,70-79,1
1981,Basel-Stadt,80-89,0
1981,Bern / Berne,10-19,3
1981,Bern / Berne,20-29,2971
1981,Bern / Berne,30-39,380
1981,Bern / Berne,40-49,67
1981,Bern / Berne,50-59,29
1981,Bern / Berne,60-69,4
1981,Bern / Berne,70-79,1
1981,Bern / Berne,80-89,1
1981,Fribourg / Freiburg,10-19,2
1981,Fribourg / Freiburg,20-29,608
1981,Fribourg / Freiburg,30-39,63
1981,Fribourg / Freiburg,40-49,7
1981,Fribourg / Freiburg,50-59,3
1981,Fribourg / Freiburg,60-69,0
1981,Fribourg / Freiburg,70-79,0
1981,Fribourg / Freiburg,80-89,0
1981,Genève,10-19,3
1981,Genève,20-29,841
1981,Genève,30-39,246
1981,Genève,40-49,38
1981,Genève,50-59,23
1981,Genève,60-69,4
1981,Genève,70-79,2
1981,Genève,80-89,0
1981,Glarus,10-19,0
1981,Glarus,20-29,130
1981,Glarus,30-39,12
1981,Glarus,40-49,0
1981,Glarus,50-59,1
1981,Glarus,60-69,0
1981,Glarus,70-79,0
1981,Glarus,80-89,0
1981,Graubünden / Grigioni / Grischun,10-19,0
1981,Graubünden / Grigioni / Grischun,20-29,566
1981,Graubünden / Grigioni / Grischun,30-39,86
1981,Graubünden / Grigioni / Grischun,40-49,6
1981,Graubünden / Grigioni / Grischun,50-59,2
1981,Graubünden / Grigioni / Grischun,60-69,5
1981,Graubünden / Grigioni / Grischun,70-79,0
