"Year","Canton","Sex","Age","Acquisition of Swiss citizenship"
"2011","Zürich","Male","0 years",19
"2011","Zürich","Male","1 year",46
"2011","Zürich","Male","2 years",62
"2011","Zürich","Male","3 years",40
"2011","Zürich","Male","4 years",60
"2011","Zürich","Male","5 years",64
"2011","Zürich","Male","6 years",73
"2011","Zürich","Male","7 years",60
"2011","Zürich","Male","8 years",64
"2011","Zürich","Male","9 years",46
"2011","Zürich","Male","10 years",42
"2011","Zürich","Male","11 years",51
"2011","Zürich","Male","12 years",78
"2011","Zürich","Male","13 years",93
"2011","Zürich","Male","14 years",67
"2011","Zürich","Male","15 years",91
"2011","Zürich","Male","16 years",83
"2011","Zürich","Male","17 years",69
"2011","Zürich","Male","18 years",77
"2011","Zürich","Male","19 years",54
"2011","Zürich","Male","20 years",40
"2011","Zürich","Male","21 years",27
"2011","Zürich","Male","22 years",17
"2011","Zürich","Male","23 years",11
"2011","Zürich","Male","24 years",17
"2011","Zürich","Male","25 years",22
"2011","Zürich","Male","26 years",28
"2011","Zürich","Male","27 years",37
"2011","Zürich","Male","28 years",41
"2011","Zürich","Male","29 years",68
"2011","Zürich","Male","30 years",44
"2011","Zürich","Male","31 years",66
"2011","Zürich","Male","32 years",72
"2011","Zürich","Male","33 years",67
"2011","Zürich","Male","34 years",88
"2011","Zürich","Male","35 years",94
"2011","Zürich","Male","36 years",90
"2011","Zürich","Male","37 years",91
"2011","Zürich","Male","38 years",95
"2011","Zürich","Male","39 years",126
"2011","Zürich","Male","40 years",88
"2011","Zürich","Male","41 years",88
"2011","Zürich","Male","42 years",94
"2011","Zürich","Male","43 years",75
"2011","Zürich","Male","44 years",87
"2011","Zürich","Male","45 years",70
"2011","Zürich","Male","46 years",99
"2011","Zürich","Male","47 years",69
"2011","Zürich","Male","48 years",68
"2011","Zürich","Male","49 years",48
"2011","Zürich","Male","50 years",55
"2011","Zürich","Male","51 years",52
"2011","Zürich","Male","52 years",48
"2011","Zürich","Male","53 years",44
"2011","Zürich","Male","54 years",37
"2011","Zürich","Male","55 years",32
"2011","Zürich","Male","56 years",25
"2011","Zürich","Male","57 years",21
"2011","Zürich","Male","58 years",31
"2011","Zürich","Male","59 years",29
"2011","Zürich","Male","60 years",18
"2011","Zürich","Male","61 years",20
"2011","Zürich","Male","62 years",16
"2011","Zürich","Male","63 years",16
"2011","Zürich","Male","64 years",13
"2011","Zürich","Male","65 years",12
"2011","Zürich","Male","66 years",14
"2011","Zürich","Male","67 years",9
"2011","Zürich","Male","68 years",12
"2011","Zürich","Male","69 years",13
"2011","Zürich","Male","70 years",13
"2011","Zürich","Male","71 years",8
"2011","Zürich","Male","72 years",3
"2011","Zürich","Male","73 years",5
"2011","Zürich","Male","74 years",5
"2011","Zürich","Male","75 years",7
"2011","Zürich","Male","76 years",2
"2011","Zürich","Male","77 years",0
"2011","Zürich","Male","78 years",2
"2011","Zürich","Male","79 years",1
"2011","Zürich","Male","80 years",0
"2011","Zürich","Male","81 years",1
"2011","Zürich","Male","82 years",1
"2011","Zürich","Male","83 years",0
"2011","Zürich","Male","84 years",0
"2011","Zürich","Male","85 years",0
"2011","Zürich","Male","86 years",0
"2011","Zürich","Male","87 years",0
"2011","Zürich","Male","88 years",0
"2011","Zürich","Male","89 years",0
"2011","Zürich","Male","90 years",0
"2011","Zürich","Male","91 years",0
"2011","Zürich","Male","92 years",0
"2011","Zürich","Male","93 years",0
"2011","Zürich","Male","94 years",0
"2011","Zürich","Male","95 years",0
"2011","Zürich","Male","96 years",0
"2011","Zürich","Male","97 years",0
"2011","Zürich","Male","98 years",0
"2011","Zürich","Male","99 years",0
"2011","Zürich","Male","100 years or older",0
"2011","Zürich","Female","0 years",24
"2011","Zürich","Female","1 year",48
"2011","Zürich","Female","2 years",45
"2011","Zürich","Female","3 years",50
"2011","Zürich","Female","4 years",49
"2011","Zürich","Female","5 years",44
"2011","Zürich","Female","6 years",52
"2011","Zürich","Female","7 years",56
"2011","Zürich","Female","8 years",43
"2011","Zürich","Female","9 years",54
"2011","Zürich","Female","10 years",46
"2011","Zürich","Female","11 years",55
"2011","Zürich","Female","12 years",95
"2011","Zürich","Female","13 years",103
"2011","Zürich","Female","14 years",78
"2011","Zürich","Female","15 years",88
"2011","Zürich","Female","16 years",95
"2011","Zürich","Female","17 years",81
"2011","Zürich","Female","18 years",75
"2011","Zürich","Female","19 years",77
"2011","Zürich","Female","20 years",45
"2011","Zürich","Female","21 years",39
"2011","Zürich","Female","22 years",32
"2011","Zürich","Female","23 years",30
"2011","Zürich","Female","24 years",29
"2011","Zürich","Female","25 years",38
"2011","Zürich","Female","26 years",52
"2011","Zürich","Female","27 years",49
"2011","Zürich","Female","28 years",74
"2011","Zürich","Female","29 years",75
"2011","Zürich","Female","30 years",90
"2011","Zürich","Female","31 years",76
"2011","Zürich","Female","32 years",103
"2011","Zürich","Female","33 years",110
"2011","Zürich","Female","34 years",101
"2011","Zürich","Female","35 years",105
"2011","Zürich","Female","36 years",104
"2011","Zürich","Female","37 years",101
"2011","Zürich","Female","38 years",130
"2011","Zürich","Female","39 years",108
"2011","Zürich","Female","40 years",110
"2011","Zürich","Female","41 years",92
"2011","Zürich","Female","42 years",113
"2011","Zürich","Female","43 years",95
"2011","Zürich","Female","44 years",96
"2011","Zürich","Female","45 years",77
"2011","Zürich","Female","46 years",64
"2011","Zürich","Female","47 years",63
"2011","Zürich","Female","48 years",64
"2011","Zürich","Female","49 years",51
"2011","Zürich","Female","50 years",46
"2011","Zürich","Female","51 years",36
"2011","Zürich","Female","52 years",41
"2011","Zürich","Female","53 years",38
"2011","Zürich","Female","54 years",32
"2011","Zürich","Female","55 years",32
"2011","Zürich","Female","56 years",29
"2011","Zürich","Female","57 years",30
"2011","Zürich","Female","58 years",15
"2011","Zürich","Female","59 years",18
"2011","Zürich","Female","60 years",17
"2011","Zürich","Female","61 years",18
"2011","Zürich","Female","62 years",15
"2011","Zürich","Female","63 years",12
"2011","Zürich","Female","64 years",10
"2011","Zürich","Female","65 years",11
"2011","Zürich","Female","66 years",9
"2011","Zürich","Female","67 years",6
"2011","Zürich","Female","68 years",7
"2011","Zürich","Female","69 years",4
"2011","Zürich","Female","70 years",3
"2011","Zürich","Female","71 years",5
"2011","Zürich","Female","72 years",7
"2011","Zürich","Female","73 years",2
"2011","Zürich","Female","74 years",2
"2011","Zürich","Female","75 years",2
"2011","Zürich","Female","76 years",2
"2011","Zürich","Female","77 years",1
"2011","Zürich","Female","78 years",0
"2011","Zürich","Female","79 years",0
"2011","Zürich","Female","80 years",0
"2011","Zürich","Female","81 years",0
"2011","Zürich","Female","82 years",0
"2011","Zürich","Female","83 years",0
"2011","Zürich","Female","84 years",0
"2011","Zürich","Female","85 years",0
"2011","Zürich","Female","86 years",0
"2011","Zürich","Female","87 years",1
"2011","Zürich","Female","88 years",0
"2011","Zürich","Female","89 years",0
"2011","Zürich","Female","90 years",0
"2011","Zürich","Female","91 years",0
"2011","Zürich","Female","92 years",0
"2011","Zürich","Female","93 years",0
"2011","Zürich","Female","94 years",0
"2011","Zürich","Female","95 years",0
"2011","Zürich","Female","96 years",0
"2011","Zürich","Female","97 years",0
"2011","Zürich","Female","98 years",0
"2011","Zürich","Female","99 years",0
"2011","Zürich","Female","100 years or older",0
"2011","Bern / Berne","Male","0 years",5
"2011","Bern / Berne","Male","1 year",20
"2011","Bern / Berne","Male","2 years",21
"2011","Bern / Berne","Male","3 years",22
"2011","Bern / Berne","Male","4 years",9
"2011","Bern / Berne","Male","5 years",15
"2011","Bern / Berne","Male","6 years",20
"2011","Bern / Berne","Male","7 years",19
"2011","Bern / Berne","Male","8 years",24
"2011","Bern / Berne","Male","9 years",16
"2011","Bern / Berne","Male","10 years",12
"2011","Bern / Berne","Male","11 years",25
"2011","Bern / Berne","Male","12 years",28
"2011","Bern / Berne","Male","13 years",39
"2011","Bern / Berne","Male","14 years",34
"2011","Bern / Berne","Male","15 years",36
"2011","Bern / Berne","Male","16 years",37
"2011","Bern / Berne","Male","17 years",31
"2011","Bern / Berne","Male","18 years",38
"2011","Bern / Berne","Male","19 years",25
"2011","Bern / Berne","Male","20 years",17
"2011","Bern / Berne","Male","21 years",17
"2011","Bern / Berne","Male","22 years",16
"2011","Bern / Berne","Male","23 years",12
"2011","Bern / Berne","Male","24 years",13
"2011","Bern / Berne","Male","25 years",7
"2011","Bern / Berne","Male","26 years",13
"2011","Bern / Berne","Male","27 years",18
"2011","Bern / Berne","Male","28 years",13
"2011","Bern / Berne","Male","29 years",18
"2011","Bern / Berne","Male","30 years",15
"2011","Bern / Berne","Male","31 years",21
"2011","Bern / Berne","Male","32 years",21
"2011","Bern / Berne","Male","33 years",24
"2011","Bern / Berne","Male","34 years",30
"2011","Bern / Berne","Male","35 years",25
"2011","Bern / Berne","Male","36 years",34
"2011","Bern / Berne","Male","37 years",30
"2011","Bern / Berne","Male","38 years",28
"2011","Bern / Berne","Male","39 years",38
"2011","Bern / Berne","Male","40 years",29
"2011","Bern / Berne","Male","41 years",20
"2011","Bern / Berne","Male","42 years",30
"2011","Bern / Berne","Male","43 years",24
"2011","Bern / Berne","Male","44 years",21
"2011","Bern / Berne","Male","45 years",18
"2011","Bern / Berne","Male","46 years",25
"2011","Bern / Berne","Male","47 years",25
"2011","Bern / Berne","Male","48 years",33
"2011","Bern / Berne","Male","49 years",19
"2011","Bern / Berne","Male","50 years",16
"2011","Bern / Berne","Male","51 years",11
"2011","Bern / Berne","Male","52 years",19
"2011","Bern / Berne","Male","53 years",15
"2011","Bern / Berne","Male","54 years",4
"2011","Bern / Berne","Male","55 years",14
"2011","Bern / Berne","Male","56 years",17
"2011","Bern / Berne","Male","57 years",17
"2011","Bern / Berne","Male","58 years",8
"2011","Bern / Berne","Male","59 years",6
"2011","Bern / Berne","Male","60 years",5
"2011","Bern / Berne","Male","61 years",8
"2011","Bern / Berne","Male","62 years",13
"2011","Bern / Berne","Male","63 years",4
"2011","Bern / Berne","Male","64 years",7
"2011","Bern / Berne","Male","65 years",4
"2011","Bern / Berne","Male","66 years",10
"2011","Bern / Berne","Male","67 years",4
"2011","Bern / Berne","Male","68 years",0
"2011","Bern / Berne","Male","69 years",2
"2011","Bern / Berne","Male","70 years",1
"2011","Bern / Berne","Male","71 years",1
"2011","Bern / Berne","Male","72 years",1
"2011","Bern / Berne","Male","73 years",3
"2011","Bern / Berne","Male","74 years",1
"2011","Bern / Berne","Male","75 years",2
"2011","Bern / Berne","Male","76 years",0
"2011","Bern / Berne","Male","77 years",0
"2011","Bern / Berne","Male","78 years",0
"2011","Bern / Berne","Male","79 years",1
"2011","Bern / Berne","Male","80 years",0
"2011","Bern / Berne","Male","81 years",0
"2011","Bern / Berne","Male","82 years",0
"2011","Bern / Berne","Male","83 years",0
"2011","Bern / Berne","Male","84 years",0
"2011","Bern / Berne","Male","85 years",0
"2011","Bern / Berne","Male","86 years",0
"2011","Bern / Berne","Male","87 years",0
"2011","Bern / Berne","Male","88 years",0
"2011","Bern / Berne","Male","89 years",0
"2011","Bern / Berne","Male","90 years",0
"2011","Bern / Berne","Male","91 years",0
"2011","Bern / Berne","Male","92 years",0
"2011","Bern / Berne","Male","93 years",0
"2011","Bern / Berne","Male","94 years",0
"2011","Bern / Berne","Male","95 years",0
"2011","Bern / Berne","Male","96 years",0
"2011","Bern / Berne","Male","97 years",0
"2011","Bern / Berne","Male","98 years",0
"2011","Bern / Berne","Male","99 years",0
"2011","Bern / Berne","Male","100 years or older",0
"2011","Bern / Berne","Female","0 years",6
"2011","Bern / Berne","Female","1 year",17
"2011","Bern / Berne","Female","2 years",16
"2011","Bern / Berne","Female","3 years",19
"2011","Bern / Berne","Female","4 years",15
"2011","Bern / Berne","Female","5 years",17
"2011","Bern / Berne","Female","6 years",17
"2011","Bern / Berne","Female","7 years",22
"2011","Bern / Berne","Female","8 years",21
"2011","Bern / Berne","Female","9 years",17
