"Education level","Sex","Year","Compulsory education"
"Primary level 1-2","Man","1999/00",76994
"Primary level 1-2","Man","2000/01",76395
"Primary level 1-2","Man","2001/02",76449
"Primary level 1-2","Man","2002/03",76060
"Primary level 1-2","Man","2003/04",75535
"Primary level 1-2","Man","2004/05",75638
"Primary level 1-2","Man","2005/06",75648
"Primary level 1-2","Man","2006/07",74174
"Primary level 1-2","Man","2007/08",72896
"Primary level 1-2","Man","2008/09",73526
"Primary level 1-2","Man","2009/10",75453
"Primary level 1-2","Man","2010/11",76355
"Primary level 1-2","Man","2011/12",77332
"Primary level 1-2","Man","2012/13",79465
"Primary level 1-2","Man","2013/14",83740
"Primary level 1-2","Man","2014/15",86087
"Primary level 1-2","Man","2015/16",87441
"Primary level 1-2","Man","2016/17",87694
"Primary level 1-2","Man","2017/18",90198
"Primary level 1-2","Man","2018/19",91267
"Primary level 1-2","Man","2019/20",92475
"Primary level 1-2","Man","2020/21",93336
"Primary level 1-2","Man","2021/22",93896
"Primary level 1-2","Man","2022/23",94827
"Primary level 1-2","Woman","1999/00",72519
"Primary level 1-2","Woman","2000/01",71772
"Primary level 1-2","Woman","2001/02",72099
"Primary level 1-2","Woman","2002/03",72359
"Primary level 1-2","Woman","2003/04",71545
"Primary level 1-2","Woman","2004/05",71362
"Primary level 1-2","Woman","2005/06",70826
"Primary level 1-2","Woman","2006/07",69236
"Primary level 1-2","Woman","2007/08",68763
"Primary level 1-2","Woman","2008/09",69439
"Primary level 1-2","Woman","2009/10",71527
"Primary level 1-2","Woman","2010/11",72524
"Primary level 1-2","Woman","2011/12",73013
"Primary level 1-2","Woman","2012/13",75068
"Primary level 1-2","Woman","2013/14",78723
"Primary level 1-2","Woman","2014/15",81052
"Primary level 1-2","Woman","2015/16",83135
"Primary level 1-2","Woman","2016/17",83092
"Primary level 1-2","Woman","2017/18",83753
"Primary level 1-2","Woman","2018/19",85004
"Primary level 1-2","Woman","2019/20",86626
"Primary level 1-2","Woman","2020/21",87763
"Primary level 1-2","Woman","2021/22",88307
"Primary level 1-2","Woman","2022/23",89576
"Primary level 3-8","Man","1999/00",241011
"Primary level 3-8","Man","2000/01",240225
"Primary level 3-8","Man","2001/02",238681
"Primary level 3-8","Man","2002/03",237835
"Primary level 3-8","Man","2003/04",236277
"Primary level 3-8","Man","2004/05",232922
"Primary level 3-8","Man","2005/06",230476
"Primary level 3-8","Man","2006/07",228192
"Primary level 3-8","Man","2007/08",226241
